,age,assists,blocks,defensive_rebounds,field_goals_attempted,field_goals_made,first_name,free_throws_attempted,free_throws_made,games_played,games_started,last_name,minutes_played,offensive_rebounds,personal_fouls,points,position,steals,team,three_point_field_goals_attempted,three_point_field_goals_made,turnovers,two_point_field_goals_attempted,two_point_field_goals_made
138,35,294,146,638,995,467,Pau,289,229,72,72,Gasol,2291,155,148,1187,C,42,CHI,69,24,164,926,443
139,29,120,51,353,1007,466,Rudy,254,198,70,70,Gay,2379,103,184,1204,SF,100,SAC,215,74,139,792,392
140,28,72,13,185,255,132,Alonzo,66,44,73,38,Gee,1632,60,169,325,SF,63,NOP,60,17,55,195,115
141,25,329,29,484,1449,605,Paul,528,454,81,81,George,2819,79,230,1874,SF,152,IND,566,210,265,883,395
142,30,106,77,298,500,263,Taj,146,101,73,55,Gibson,1936,206,180,627,PF,47,CHI,3,0,78,497,263
143,38,177,11,120,435,197,Manu,112,91,58,0,Ginobili,1134,26,99,555,SG,66,SAS,179,70,99,256,127
144,23,91,135,460,354,198,Rudy,283,161,61,60,Gobert,1932,208,163,557,C,45,UTA,0,0,114,354,198
145,34,13,11,57,103,33,Drew,14,9,30,0,Gooden,305,28,40,82,PF,8,WAS,41,7,13,62,26
146,21,118,13,115,422,176,Archie,193,130,57,13,Goodwin,1114,27,84,505,PG,27,PHO,99,23,100,323,153
147,20,128,55,353,579,274,Aaron,193,129,78,37,Gordon,1863,154,153,719,PF,59,ORL,142,42,66,437,232
148,27,121,14,89,552,231,Eric,125,111,45,44,Gordon,1481,10,98,686,SG,43,NOP,294,113,73,258,118
149,31,106,96,519,764,433,Marcin,207,146,75,74,Gortat,2256,222,193,1012,C,47,WAS,1,0,121,763,433
150,27,4,2,1,20,9,Andrew,4,3,8,0,Goudelock,50,1,4,22,PG,6,HOU,9,1,7,11,8
151,21,135,127,262,599,251,Jerami,322,212,77,52,Grant,2066,99,215,749,PF,54,PHI,146,35,110,453,216
152,23,177,10,120,391,154,Jerian,123,96,76,6,Grant,1265,23,97,426,PG,50,NYK,100,22,87,291,132
153,28,141,64,255,561,211,Danny,46,34,79,79,Green,2062,48,141,572,SG,79,SAS,349,116,75,212,95
154,25,598,113,635,819,401,Draymond,329,229,81,81,Green,2808,134,240,1131,PF,119,GSW,258,100,259,561,301
155,30,56,19,138,587,230,Gerald,92,72,69,14,Green,1557,25,123,616,SG,38,MIA,260,84,46,327,146
156,25,67,33,234,495,230,JaMychal,137,103,78,15,Green,1446,139,189,578,PF,46,MEM,45,15,83,450,215
157,26,170,17,243,603,301,Blake,194,141,35,35,Griffin,1170,51,95,749,PF,28,LAC,18,6,83,585,295
158,27,17,0,7,11,6,Jorge,11,10,12,0,Gutierrez,63,0,3,22,PG,3,CHO,2,0,6,9,6
159,25,25,3,50,116,49,Jordan,21,14,11,4,Hamilton,304,12,24,125,SF,8,NOP,45,13,17,71,36
160,30,8,7,49,71,32,Tyler,65,38,44,0,Hansbrough,343,40,55,104,PF,12,CHO,3,2,12,68,30
161,23,51,7,79,265,114,Tim,56,50,51,1,Hardaway,864,7,48,326,SG,21,ATL,142,48,23,123,66
162,26,612,51,438,1617,710,James,837,720,82,82,Harden,3125,63,229,2376,SG,139,HOU,657,236,374,960,474
163,22,67,35,179,411,195,Maurice,111,69,78,14,Harkless,1457,101,124,498,SF,49,POR,140,39,62,271,156
164,26,0,0,1,10,4,Justin,2,1,5,0,Harper,35,0,3,13,PF,1,DET,9,4,2,1,0
