,home_team_name,home_team_score,start_time,visiting_team_name,visiting_team_score
110,Atlanta Hawks,91,2013-11-14 01:00:00,New York Knicks,95
111,Boston Celtics,83,2013-11-14 00:30:00,Charlotte Bobcats,89
112,Denver Nuggets,111,2013-11-14 02:00:00,Los Angeles Lakers,99
113,Los Angeles Clippers,111,2013-11-14 03:30:00,Oklahoma City Thunder,103
114,Memphis Grizzlies,87,2013-11-14 01:00:00,Toronto Raptors,103
115,Minnesota Timberwolves,124,2013-11-14 01:00:00,Cleveland Cavaliers,95
116,Orlando Magic,94,2013-11-14 00:00:00,Milwaukee Bucks,91
117,Philadelphia 76ers,123,2013-11-14 00:00:00,Houston Rockets,117
118,Portland Trail Blazers,90,2013-11-14 03:00:00,Phoenix Suns,89
119,Sacramento Kings,107,2013-11-14 03:00:00,Brooklyn Nets,86
120,San Antonio Spurs,92,2013-11-14 01:30:00,Washington Wizards,79
121,Utah Jazz,111,2013-11-14 02:00:00,New Orleans Pelicans,105
122,Golden State Warriors,116,2013-11-15 03:30:00,Oklahoma City Thunder,115
123,New York Knicks,106,2013-11-15 01:00:00,Houston Rockets,109
124,Atlanta Hawks,113,2013-11-16 00:30:00,Philadelphia 76ers,103
125,Boston Celtics,96,2013-11-16 00:30:00,Portland Trail Blazers,109
126,Cleveland Cavaliers,80,2013-11-16 00:30:00,Charlotte Bobcats,86
127,Denver Nuggets,117,2013-11-16 01:00:00,Minnesota Timberwolves,113
128,Indiana Pacers,104,2013-11-16 00:00:00,Milwaukee Bucks,77
129,Los Angeles Lakers,86,2013-11-16 03:30:00,Memphis Grizzlies,89
130,Miami Heat,110,2013-11-16 00:30:00,Dallas Mavericks,104
131,Phoenix Suns,98,2013-11-16 02:00:00,Brooklyn Nets,100
132,Sacramento Kings,90,2013-11-16 03:30:00,Detroit Pistons,97
133,Toronto Raptors,80,2013-11-16 00:00:00,Chicago Bulls,96
134,Utah Jazz,82,2013-11-16 02:00:00,San Antonio Spurs,91
135,Charlotte Bobcats,81,2013-11-17 00:00:00,Miami Heat,97
136,Chicago Bulls,110,2013-11-17 01:00:00,Indiana Pacers,94
137,Golden State Warriors,102,2013-11-17 03:30:00,Utah Jazz,88
138,Houston Rockets,122,2013-11-17 01:00:00,Denver Nuggets,111
139,Los Angeles Clippers,110,2013-11-17 03:30:00,Brooklyn Nets,103
140,Milwaukee Bucks,79,2013-11-17 01:30:00,Oklahoma City Thunder,92
141,Minnesota Timberwolves,106,2013-11-17 01:00:00,Boston Celtics,88
142,New Orleans Pelicans,135,2013-11-17 01:00:00,Philadelphia 76ers,98
143,New York Knicks,90,2013-11-17 00:30:00,Atlanta Hawks,110
144,Orlando Magic,100,2013-11-17 00:00:00,Dallas Mavericks,108
145,Washington Wizards,96,2013-11-17 00:00:00,Cleveland Cavaliers,103
146,Los Angeles Lakers,114,2013-11-18 02:30:00,Detroit Pistons,99
147,Sacramento Kings,86,2013-11-17 23:00:00,Memphis Grizzlies,97
148,Toronto Raptors,110,2013-11-17 18:00:00,Portland Trail Blazers,118
149,Brooklyn Nets,98,2013-11-19 00:30:00,Portland Trail Blazers,108
150,Chicago Bulls,86,2013-11-19 01:00:00,Charlotte Bobcats,81
151,Dallas Mavericks,97,2013-11-19 01:30:00,Philadelphia 76ers,94
152,Los Angeles Clippers,102,2013-11-19 03:30:00,Memphis Grizzlies,106
153,Oklahoma City Thunder,115,2013-11-19 01:00:00,Denver Nuggets,113
154,Utah Jazz,87,2013-11-19 02:00:00,Golden State Warriors,98
155,Detroit Pistons,92,2013-11-20 00:30:00,New York Knicks,86
156,Houston Rockets,109,2013-11-20 01:00:00,Boston Celtics,85
157,Miami Heat,104,2013-11-20 00:30:00,Atlanta Hawks,88
158,Sacramento Kings,107,2013-11-20 03:00:00,Phoenix Suns,104
159,Washington Wizards,104,2013-11-20 00:00:00,Minnesota Timberwolves,100
160,Atlanta Hawks,93,2013-11-21 00:30:00,Detroit Pistons,85
161,Charlotte Bobcats,95,2013-11-21 00:00:00,Brooklyn Nets,91
162,Cleveland Cavaliers,91,2013-11-21 00:00:00,Washington Wizards,98
163,Dallas Mavericks,123,2013-11-21 02:30:00,Houston Rockets,120
164,Golden State Warriors,81,2013-11-21 03:30:00,Memphis Grizzlies,88
165,Milwaukee Bucks,82,2013-11-21 01:00:00,Portland Trail Blazers,91
166,Minnesota Timberwolves,98,2013-11-21 01:00:00,Los Angeles Clippers,102
167,New Orleans Pelicans,105,2013-11-21 01:00:00,Utah Jazz,98
168,New York Knicks,96,2013-11-21 00:00:00,Indiana Pacers,103
169,Orlando Magic,92,2013-11-21 00:00:00,Miami Heat,120
170,Philadelphia 76ers,98,2013-11-21 00:00:00,Toronto Raptors,108
171,Phoenix Suns,106,2013-11-21 02:00:00,Sacramento Kings,113
172,San Antonio Spurs,104,2013-11-21 01:30:00,Boston Celtics,93
173,Denver Nuggets,97,2013-11-22 03:30:00,Chicago Bulls,87
174,Oklahoma City Thunder,105,2013-11-22 01:00:00,Los Angeles Clippers,91
175,Boston Celtics,82,2013-11-23 00:30:00,Indiana Pacers,97
176,Charlotte Bobcats,91,2013-11-23 00:00:00,Phoenix Suns,98
177,Dallas Mavericks,103,2013-11-23 01:30:00,Utah Jazz,93
178,Detroit Pistons,89,2013-11-23 00:30:00,Atlanta Hawks,96
179,Los Angeles Lakers,102,2013-11-23 03:30:00,Golden State Warriors,95
180,Memphis Grizzlies,86,2013-11-23 01:00:00,San Antonio Spurs,102
181,Minnesota Timberwolves,111,2013-11-23 01:00:00,Brooklyn Nets,81
182,New Orleans Pelicans,104,2013-11-23 01:00:00,Cleveland Cavaliers,100
183,Philadelphia 76ers,115,2013-11-23 00:00:00,Milwaukee Bucks,107
184,Portland Trail Blazers,98,2013-11-23 03:00:00,Chicago Bulls,95
185,Toronto Raptors,96,2013-11-23 00:00:00,Washington Wizards,88
