LA Clippers	2	2	0	45.5	86.5	13.0	30.0	19.5	27.0	11.0	43.0	23.0	6.0	6.5	12.0	26.0	123.5	42.0	92.0	10.5	30.0	19.5	26.5	15.5	45.5	21.0	4.5	2.0	14.0	22.5	114.0
LA Lakers	4	2	2	43.5	91.8	10.3	31.0	10.8	16.3	14.5	48.5	22.8	10.3	5.3	13.8	15.0	108.0	40.0	88.8	11.0	30.0	9.0	12.5	10.8	41.5	25.3	6.3	4.8	15.0	16.0	100.0
Memphis	2	2	0	35.0	84.5	14.0	35.5	22.0	35.5	13.0	42.5	19.5	6.5	4.0	9.5	22.0	106.0	35.5	85.0	9.5	30.5	16.0	20.5	12.5	47.0	22.0	4.5	5.0	15.0	31.0	96.5
Milwaukee	2	1	1	39.0	82.0	9.5	26.5	15.0	21.0	9.5	45.5	20.0	5.5	4.0	13.5	19.5	102.5	36.0	81.0	9.0	30.0	13.0	19.5	8.0	37.0	25.0	8.5	5.5	11.5	22.5	94.0
Minnesota	4	1	3	40.5	85.3	8.3	27.5	17.8	21.8	10.8	38.5	21.5	8.3	6.0	15.3	24.3	107.0	40.8	82.0	9.3	22.8	20.5	26.5	11.0	40.0	24.0	7.0	4.5	15.5	20.0	111.3
New Orleans	2	0	2	37.5	93.0	10.0	35.5	18.5	23.0	12.0	46.0	23.0	10.0	3.5	15.0	21.5	103.5	43.5	85.0	10.0	24.5	17.0	22.5	6.0	45.0	28.0	9.0	2.5	17.5	21.0	114.0
New York	2	1	1	37.5	87.5	11.5	32.5	14.0	21.0	14.5	41.5	22.0	11.5	7.0	16.0	22.0	100.5	35.0	74.0	10.5	23.5	17.0	22.5	8.5	38.0	20.0	8.5	3.5	19.0	22.5	97.5
Orlando	1	0	1	38.0	96.0	12.0	32.0	20.0	30.0	21.0	48.0	17.0	8.0	5.0	13.0	20.0	108.0	45.0	76.0	13.0	30.0	18.0	26.0	2.0	37.0	28.0	9.0	7.0	13.0	22.0	121.0
Philadelphia	2	2	0	46.0	102.5	12.5	34.0	16.0	24.5	17.5	50.5	24.5	8.5	4.0	14.0	23.0	120.5	41.0	88.0	12.0	37.5	20.5	25.5	9.5	45.0	27.0	10.0	4.5	16.5	23.0	114.5
Phoenix	1	0	1	40.0	86.0	8.0	27.0	12.0	21.0	8.0	42.0	23.0	7.0	7.0	11.0	17.0	100.0	39.0	88.0	17.0	39.0	19.0	23.0	12.0	43.0	24.0	6.0	6.0	7.0	19.0	114.0
Portland	2	0	2	38.5	86.5	12.0	32.0	13.5	20.5	8.5	35.0	18.5	8.5	3.0	12.5	22.0	102.5	40.0	77.5	8.5	21.5	21.5	27.0	7.5	43.0	19.5	8.0	4.5	18.0	20.0	110.0
Sacramento	2	1	1	32.5	86.0	9.5	33.5	16.0	26.5	13.5	51.5	17.5	13.0	4.0	16.0	18.0	90.5	35.0	81.5	8.0	27.0	13.0	18.5	5.5	42.0	21.5	9.5	2.5	18.0	26.0	91.0
San Antonio	2	1	1	38.0	88.0	7.5	22.5	12.0	21.0	14.0	44.0	22.5	7.5	2.5	14.0	20.5	95.5	32.5	76.5	11.0	31.5	19.5	25.5	10.0	41.5	18.5	8.5	8.0	15.0	21.0	95.5
Toronto	1	1	0	46.0	87.0	9.0	25.0	23.0	33.0	15.0	52.0	25.0	9.0	7.0	12.0	26.0	124.0	36.0	85.0	11.0	38.0	24.0	26.0	7.0	34.0	24.0	9.0	4.0	11.0	29.0	107.0
Utah	4	3	1	37.5	81.0	8.8	25.8	15.5	20.8	10.8	42.8	18.5	12.3	5.0	13.8	19.0	99.3	32.8	75.3	8.3	29.8	15.8	20.5	8.3	38.0	17.3	9.0	3.5	16.0	17.5	89.5
Washington	2	1	1	37.5	83.5	9.0	29.5	24.5	31.5	13.5	46.0	18.5	11.5	7.0	17.0	19.5	108.5	38.0	87.5	11.5	30.0	19.5	22.5	9.5	41.0	26.0	9.0	4.5	17.5	26.5	107.0
