,home_team_name,home_team_score,start_time,visiting_team_name,visiting_team_score
120,Toronto Raptors,93,2014-11-14 01:00:00,Chicago Bulls,100
121,Atlanta Hawks,114,2014-11-15 00:30:00,Miami Heat,103
122,Boston Celtics,121,2014-11-15 00:30:00,Cleveland Cavaliers,122
123,Houston Rockets,88,2014-11-15 01:00:00,Philadelphia 76ers,87
124,Indiana Pacers,87,2014-11-15 00:00:00,Denver Nuggets,108
125,Los Angeles Lakers,80,2014-11-15 03:00:00,San Antonio Spurs,93
126,New Orleans Pelicans,139,2014-11-15 01:00:00,Minnesota Timberwolves,91
127,New York Knicks,100,2014-11-15 00:30:00,Utah Jazz,102
128,Oklahoma City Thunder,89,2014-11-15 01:00:00,Detroit Pistons,96
129,Orlando Magic,101,2014-11-15 00:00:00,Milwaukee Bucks,85
130,Phoenix Suns,95,2014-11-15 02:00:00,Charlotte Hornets,103
131,Chicago Bulls,90,2014-11-16 01:00:00,Indiana Pacers,99
132,Cleveland Cavaliers,127,2014-11-16 00:30:00,Atlanta Hawks,94
133,Dallas Mavericks,131,2014-11-16 01:30:00,Minnesota Timberwolves,117
134,Golden State Warriors,112,2014-11-16 03:30:00,Charlotte Hornets,87
135,Los Angeles Clippers,120,2014-11-16 03:30:00,Phoenix Suns,107
136,Memphis Grizzlies,95,2014-11-16 01:00:00,Detroit Pistons,88
137,Portland Trail Blazers,97,2014-11-16 03:00:00,Brooklyn Nets,87
138,Sacramento Kings,94,2014-11-16 03:00:00,San Antonio Spurs,91
139,Toronto Raptors,111,2014-11-16 00:30:00,Utah Jazz,93
140,Washington Wizards,98,2014-11-16 00:00:00,Orlando Magic,93
141,Los Angeles Lakers,115,2014-11-17 02:30:00,Golden State Warriors,136
142,Miami Heat,84,2014-11-16 23:00:00,Milwaukee Bucks,91
143,New York Knicks,109,2014-11-16 18:00:00,Denver Nuggets,93
144,Oklahoma City Thunder,65,2014-11-17 00:00:00,Houston Rockets,69
145,Boston Celtics,114,2014-11-18 00:30:00,Phoenix Suns,118
146,Brooklyn Nets,83,2014-11-18 00:30:00,Miami Heat,95
147,Charlotte Hornets,80,2014-11-18 00:00:00,Dallas Mavericks,107
148,Cleveland Cavaliers,97,2014-11-18 00:00:00,Denver Nuggets,106
149,Detroit Pistons,93,2014-11-18 00:30:00,Orlando Magic,107
150,Los Angeles Clippers,89,2014-11-18 03:30:00,Chicago Bulls,105
151,Memphis Grizzlies,119,2014-11-18 01:00:00,Houston Rockets,93
152,Portland Trail Blazers,102,2014-11-18 03:00:00,New Orleans Pelicans,93
153,San Antonio Spurs,100,2014-11-18 01:30:00,Philadelphia 76ers,75
154,Atlanta Hawks,109,2014-11-19 00:30:00,Los Angeles Lakers,114
155,Milwaukee Bucks,117,2014-11-19 01:00:00,New York Knicks,113
156,Sacramento Kings,100,2014-11-19 03:00:00,New Orleans Pelicans,106
157,Utah Jazz,98,2014-11-19 02:00:00,Oklahoma City Thunder,81
158,Brooklyn Nets,118,2014-11-20 00:30:00,Milwaukee Bucks,122
159,Cleveland Cavaliers,90,2014-11-20 00:00:00,San Antonio Spurs,92
160,Denver Nuggets,107,2014-11-20 02:00:00,Oklahoma City Thunder,100
161,Detroit Pistons,86,2014-11-20 00:30:00,Phoenix Suns,88
162,Houston Rockets,92,2014-11-20 02:30:00,Los Angeles Lakers,98
163,Indiana Pacers,88,2014-11-20 00:00:00,Charlotte Hornets,86
164,Minnesota Timberwolves,115,2014-11-20 01:00:00,New York Knicks,99
165,Orlando Magic,90,2014-11-20 00:00:00,Los Angeles Clippers,114
166,Philadelphia 76ers,90,2014-11-20 00:00:00,Boston Celtics,101
167,Toronto Raptors,96,2014-11-20 00:30:00,Memphis Grizzlies,92
168,Washington Wizards,102,2014-11-20 00:00:00,Dallas Mavericks,105
169,Miami Heat,93,2014-11-21 01:00:00,Los Angeles Clippers,110
170,Sacramento Kings,103,2014-11-21 03:30:00,Chicago Bulls,88
171,Atlanta Hawks,99,2014-11-22 00:30:00,Detroit Pistons,89
172,Charlotte Hornets,100,2014-11-22 00:00:00,Orlando Magic,105
173,Dallas Mavericks,140,2014-11-22 01:30:00,Los Angeles Lakers,106
174,Denver Nuggets,117,2014-11-22 02:00:00,New Orleans Pelicans,97
175,Golden State Warriors,101,2014-11-22 03:30:00,Utah Jazz,88
176,Memphis Grizzlies,117,2014-11-22 01:00:00,Boston Celtics,100
177,Minnesota Timberwolves,92,2014-11-22 01:00:00,San Antonio Spurs,121
178,Oklahoma City Thunder,92,2014-11-22 01:00:00,Brooklyn Nets,94
179,Philadelphia 76ers,96,2014-11-22 00:00:00,Phoenix Suns,122
180,Portland Trail Blazers,105,2014-11-22 03:30:00,Chicago Bulls,87
181,Toronto Raptors,124,2014-11-22 00:30:00,Milwaukee Bucks,82
182,Washington Wizards,91,2014-11-22 01:00:00,Cleveland Cavaliers,78
183,Cleveland Cavaliers,93,2014-11-23 00:30:00,Toronto Raptors,110
184,Houston Rockets,95,2014-11-23 01:00:00,Dallas Mavericks,92
185,Indiana Pacers,83,2014-11-23 00:00:00,Phoenix Suns,106
186,Milwaukee Bucks,100,2014-11-23 01:30:00,Washington Wizards,111
187,Minnesota Timberwolves,101,2014-11-23 01:00:00,Sacramento Kings,113
188,New York Knicks,91,2014-11-23 00:30:00,Philadelphia 76ers,83
189,Orlando Magic,92,2014-11-23 00:00:00,Miami Heat,99
190,San Antonio Spurs,99,2014-11-23 01:30:00,Brooklyn Nets,87
191,Utah Jazz,94,2014-11-23 02:00:00,New Orleans Pelicans,106
192,Boston Celtics,88,2014-11-23 23:00:00,Portland Trail Blazers,94
193,Los Angeles Lakers,94,2014-11-24 02:30:00,Denver Nuggets,101
194,Memphis Grizzlies,107,2014-11-23 23:00:00,Los Angeles Clippers,91
195,Miami Heat,94,2014-11-23 23:00:00,Charlotte Hornets,93
196,Oklahoma City Thunder,86,2014-11-24 00:00:00,Golden State Warriors,91
197,Charlotte Hornets,92,2014-11-25 00:00:00,Los Angeles Clippers,113
198,Cleveland Cavaliers,106,2014-11-25 00:00:00,Orlando Magic,74
199,Dallas Mavericks,100,2014-11-25 01:30:00,Indiana Pacers,111
200,Houston Rockets,91,2014-11-25 01:00:00,New York Knicks,86
201,Philadelphia 76ers,104,2014-11-25 00:00:00,Portland Trail Blazers,114
202,Toronto Raptors,104,2014-11-25 00:30:00,Phoenix Suns,100
203,Utah Jazz,95,2014-11-25 02:00:00,Chicago Bulls,97
204,Denver Nuggets,114,2014-11-26 02:00:00,Chicago Bulls,109
205,Miami Heat,97,2014-11-26 00:30:00,Golden State Warriors,114
206,Milwaukee Bucks,98,2014-11-26 01:00:00,Detroit Pistons,86
207,New Orleans Pelicans,89,2014-11-26 01:00:00,Sacramento Kings,99
208,Washington Wizards,102,2014-11-26 00:00:00,Atlanta Hawks,106
209,Atlanta Hawks,115,2014-11-27 00:30:00,Toronto Raptors,126
210,Charlotte Hornets,97,2014-11-27 00:00:00,Portland Trail Blazers,105
211,Cleveland Cavaliers,113,2014-11-27 00:00:00,Washington Wizards,87
212,Dallas Mavericks,109,2014-11-27 00:30:00,New York Knicks,102
213,Detroit Pistons,98,2014-11-27 00:30:00,Los Angeles Clippers,104
214,Houston Rockets,102,2014-11-27 01:00:00,Sacramento Kings,89
215,Los Angeles Lakers,93,2014-11-27 03:30:00,Memphis Grizzlies,99
216,Minnesota Timberwolves,86,2014-11-27 01:00:00,Milwaukee Bucks,103
217,Oklahoma City Thunder,97,2014-11-27 01:00:00,Utah Jazz,82
218,Orlando Magic,96,2014-11-27 00:00:00,Golden State Warriors,111
219,Philadelphia 76ers,91,2014-11-27 00:00:00,Brooklyn Nets,99
220,Phoenix Suns,120,2014-11-27 02:00:00,Denver Nuggets,112
221,San Antonio Spurs,106,2014-11-27 01:30:00,Indiana Pacers,100
222,Atlanta Hawks,100,2014-11-29 00:30:00,New Orleans Pelicans,91
223,Boston Celtics,102,2014-11-28 18:00:00,Chicago Bulls,109
224,Charlotte Hornets,101,2014-11-29 00:00:00,Golden State Warriors,106
225,Denver Nuggets,122,2014-11-29 02:00:00,Phoenix Suns,97
226,Detroit Pistons,88,2014-11-29 00:30:00,Milwaukee Bucks,104
227,Houston Rockets,85,2014-11-29 01:00:00,Los Angeles Clippers,102
228,Indiana Pacers,98,2014-11-29 01:00:00,Orlando Magic,83
229,Los Angeles Lakers,119,2014-11-29 03:30:00,Minnesota Timberwolves,120
230,Oklahoma City Thunder,105,2014-11-29 01:00:00,New York Knicks,78
231,Portland Trail Blazers,99,2014-11-29 03:00:00,Memphis Grizzlies,112
232,San Antonio Spurs,112,2014-11-29 01:30:00,Sacramento Kings,104
