,age,assists,blocks,defensive_rebounds,field_goals_attempted,field_goals_made,first_name,free_throws_attempted,free_throws_made,games_played,games_started,last_name,minutes_played,offensive_rebounds,personal_fouls,points,position,steals,team,three_point_field_goals_attempted,three_point_field_goals_made,turnovers,two_point_field_goals_attempted,two_point_field_goals_made
72,25,90,8,99,433,211,Ian,58,44,77,0,Clark,1137,22,77,527,SG,39,GSW,163,61,55,270,150
73,24,213,8,197,1071,477,Jordan,168,134,82,19,Clarkson,2397,49,150,1205,SG,88,LAL,356,117,164,715,360
74,28,14,0,11,52,16,Norris,10,8,13,0,Cole,125,0,18,43,PG,8,OKC,13,3,7,39,13
75,29,312,9,129,714,340,Darren,171,147,68,64,Collison,2063,23,119,900,PG,67,SAC,175,73,114,539,267
76,36,12,2,22,23,14,Nick,8,5,20,0,Collison,128,9,17,33,PF,2,OKC,1,0,4,22,14
77,29,433,19,210,1009,464,Mike,368,316,69,68,Conley,2292,31,126,1415,PG,92,MEM,419,171,156,590,293
78,24,28,2,42,72,37,Pat,9,7,39,1,Connaughton,316,10,23,98,SG,6,POR,33,17,17,39,20
79,26,102,69,344,732,292,Robert,174,143,67,67,Covington,2119,92,203,864,SF,127,PHI,412,137,131,320,155
80,24,94,20,207,647,303,Allen,124,105,79,7,Crabbe,2254,19,171,845,SG,54,POR,302,134,62,345,169
81,36,214,14,112,870,359,Jamal,203,174,82,1,Crawford,2157,17,115,1008,SG,61,LAC,322,116,134,548,243
82,28,57,2,30,218,105,Jordan,26,20,19,0,Crawford,442,4,30,267,SG,11,NOP,95,37,25,123,68
83,26,155,23,367,720,333,Jae,217,176,72,72,Crowder,2335,48,161,999,SF,73,BOS,394,157,80,326,176
84,29,37,28,221,359,174,Dante,27,16,66,35,Cunningham,1649,56,100,435,SF,39,NOP,181,71,28,178,103
85,26,189,7,154,703,338,Seth,100,85,70,42,Curry,2029,25,126,898,PG,79,DAL,322,137,92,381,201
86,28,524,17,292,1443,675,Stephen,362,325,79,79,Curry,2638,61,183,1999,PG,142,GSW,789,324,239,654,351
87,25,46,4,78,495,185,Troy,54,43,67,3,Daniels,1183,22,90,551,SG,20,MEM,355,138,45,140,47
88,23,157,167,712,1526,770,Anthony,647,519,75,75,Davis,2708,172,168,2099,C,94,NOP,134,40,181,1392,730
89,20,2,17,40,47,24,Deyonta,18,10,36,0,Davis,238,20,40,58,C,3,MEM,0,0,8,47,24
